Local,Confirmados,Casos a cada um milhão de pessoas,Casos recuperados,Mortes,Novos casos (últimos 60 dias
Global,7039918,905,—,404396
Estados Unidos,2016248,6118,540.234,113425
Brasil,719449,3404,325.602,37840
Rússia,485253,3307,242.397,6142
Reino Unido,289140,4352,—,40883
Índia,266598,196,129.314,7471
Espanha,241966,5137,150.376,27136
Itália,235561,3910,168.646,34043
Peru,203736,6341,92.929,5738
Alemanha,186461,2242,170.134,8812
Irã,175927,2111,138.457,8425
Turquia,172114,2070,144.598,4729
França,154591,2305,71.506,29296
Chile,142759,7471,—,2283
México,120102,949,88.217,14053
Arábia Saudita,108571,3173,76.339,783
Paquistão,108317,494,35.018,2172
Canadá,96614,2544,55.536,7895
China continental,83043,59,78.351,4634
Bangladesh,71675,426,15.336,975
Catar,70879,25800,47.569,62
Bélgica,59437,5157,16.324,9619
África do Sul,52991,902,29.006,1162
Bielorrússia,50265,5340,24.506,282
Países Baixos,47903,2745,—,6031
Suécia,45924,4444,—,4717
Equador,43917,2516,4.375,3690
Colômbia,40719,824,16.427,1308
Emirados Árabes Unidos,39904,4035,22.740,283
Singapura,38514,6753,25.877,25
Egito,36829,368,9.786,1306
Portugal,35306,3436,21.339,1492
Kuwait,33140,7498,22.162,273
Indonésia,33076,124,11.414,1923
Suíça,30988,3609,28.700,1663
Ucrânia,27856,665,12.412,810
Polônia,27560,718,13.196,1183
Irlanda,25215,5123,22.698,1691
Argentina,23607,525,7.292,693
Filipinas,22992,212,4.736,1017
Afeganistão,21459,666,2.651,384
